plot_key,district,habitation,field_type,loreys_h_m,crown_cover_pct,n_trees,n_species,sal_ba_frac
18.680077_82.962886,KORAPUT,BARAKANTI,0,6.794553538347538,38.0,14,7,0.0
18.680447_82.973233,KORAPUT,BARAKANTI,0,8.41040859371168,33.0,14,4,0.0
18.681063_82.964409,KORAPUT,BARAKANTI,4,5.304843071375891,53.0,7,2,0.0
18.681071_82.975365,KORAPUT,BARAKANTI,2,3.309597523219815,43.0,0,0,0.0
18.681102_82.975437,KORAPUT,BARAKANTI,4,8.224823985444186,43.0,10,3,0.0
18.681326_82.957064,KORAPUT,BARAKANTI,4,8.539359020525746,38.0,10,6,0.0
18.681329_82.960893,KORAPUT,BARAKANTI,4,7.583365244696333,33.0,7,5,0.0
18.681538_82.974712,KORAPUT,BARAKANTI,0,11.634516765286,48.0,12,2,0.0
18.681742_82.961581,KORAPUT,BARAKANTI,0,7.1942797755144445,63.0,18,7,0.0
18.681765_82.962915,KORAPUT,BARAKANTI,0,4.852769679300291,68.0,16,5,0.0
18.681858_82.963077,KORAPUT,BARAKANTI,4,6.860245358090186,53.0,4,3,0.0
18.681878_82.962774,KORAPUT,BARAKANTI,4,4.913637202435874,53.0,7,4,0.0
18.682446_82.965478,KORAPUT,BARAKANTI,4,7.813887384948565,38.0,7,4,0.0
18.68257_82.965576,KORAPUT,BARAKANTI,4,5.58161782513926,58.0,3,3,0.0
18.682588_82.96899,KORAPUT,BARAKANTI,4,4.909628506444276,48.0,5,3,0.0
18.68293_82.957086,KORAPUT,BARAKANTI,4,8.955891686058813,43.0,6,2,0.0
18.682982_82.96547,KORAPUT,BARAKANTI,4,5.156901041666667,48.0,8,4,0.0
18.683549_82.961884,KORAPUT,BARAKANTI,4,5.804797648654758,48.0,5,4,0.0
18.683884_82.961298,KORAPUT,BARAKANTI,4,5.571485823063821,53.0,7,4,0.0
18.684793_82.959743,KORAPUT,BARAKANTI,4,6.840462905559001,48.0,7,4,0.0
18.686431_82.9618,KORAPUT,BARAKANTI,4,6.859096945551129,63.0,2,2,0.0
18.686566_82.958633,KORAPUT,BARAKANTI,4,9.565734152652004,58.0,8,6,0.0
18.69107_82.868956,KORAPUT,BARAKANTI,4,4.412639894667545,53.0,2,2,0.0
20.621695_85.564537,DHENKANAL,MANGALPUR,0,4.071563966274772,18.0,12,5,0.0
20.741885_84.698598,ANGUL,KANSAB,0,12.230659685863872,53.0,21,10,0.0002977107073195
20.742247_84.697628,ANGUL,KANSAB,0,14.13150279171004,43.0,16,8,0.0
20.742487_84.696332,ANGUL,KANSAB,0,11.249319287063264,38.0,21,8,4.721435316336166e-05
20.743825_84.696419,ANGUL,KANSAB,0,6.27323369221026,48.0,17,7,5.6294419815635794e-05
20.744313_84.694294,ANGUL,KANSAB,1,26.6538651018829,38.0,16,7,0.0
20.744556_84.693554,ANGUL,KANSAB,1,24.0924363142444,38.0,9,7,0.0
20.745076_84.695402,ANGUL,KANSAB,3,7.633591722692743,53.0,32,11,6.985069414127303e-05
20.745582_84.692273,ANGUL,KANSAB,3,16.790449749899384,53.0,22,8,0.0434801356867705
20.746348_84.694433,ANGUL,KANSAB,1,20.66203030487912,58.0,14,5,0.0
20.747267_84.691992,ANGUL,KANSAB,1,21.11119340097781,43.0,13,5,4.913642729037172e-05
20.759342_84.70982,ANGUL,GHANAJODI,3,13.615325304581994,38.0,25,12,0.0
20.760064_84.721146,ANGUL,GHANAJODI,0,12.10929704759992,38.0,18,10,0.0
20.760492_84.717751,ANGUL,GHANAJODI,1,33.57311264949205,43.0,18,8,0.0
20.761327_84.711584,ANGUL,GHANAJODI,0,7.437466440696206,48.0,21,6,0.0
20.76148_84.72302,ANGUL,GHANAJODI,3,9.615795493997476,43.0,30,12,0.011420322692638
20.761498_84.715991,ANGUL,GHANAJODI,3,3.92646384094385,38.0,76,10,0.0
20.76178_84.706629,ANGUL,GHANAJODI,0,5.341069086968302,38.0,16,5,0.0
20.763036_84.72282,ANGUL,GHANAJODI,0,12.374889517547212,68.0,13,6,0.0
20.76408_84.715482,ANGUL,GHANAJODI,4,2.5771074457180143,98.0,2,2,0.0
20.764457_84.718917,ANGUL,GHANAJODI,3,17.595640751205867,43.0,22,7,0.0
20.767532_84.743722,ANGUL,KANTAPADA,4,11.776556953547336,48.0,5,4,0.0007654403674113
20.802758_84.651615,ANGUL,JOGI BANDHA,1,17.060260489251302,58.0,10,7,0.0
20.803186_84.650445,ANGUL,JOGI BANDHA,1,18.86359363529421,78.0,6,4,0.0
20.803305_84.650996,ANGUL,JOGI BANDHA,4,11.216738157552172,68.0,6,3,0.0
20.803378_84.649662,ANGUL,JOGI BANDHA,4,8.101128621491275,93.0,5,5,0.0
20.80382_84.649267,ANGUL,JOGI BANDHA,1,14.119777442428472,63.0,6,6,0.0
20.804067_84.651992,ANGUL,JOGI BANDHA,1,16.35755048052083,28.0,6,4,0.0
