plot_key,district,habitation,site_polygon,crown_cover_pct,meta_chm,habitat,hab_frac,indiasat_has_data,worldcover,lulc_2017,lulc_2018,lulc_2019,lulc_2020,lulc_2021
18.614533_82.839458,KORAPUT,BARIGUDA,,58.0,1,1,1.0,1,10,6,6,6,6,6
18.615426_82.839528,KORAPUT,BARIGUDA,,58.0,12,1,1.0,1,10,6,6,6,6,6
18.615788_82.855314,KORAPUT,KONDASRIMUNDA,,0.0,0,1,0.6816298342541437,1,30,6,6,6,8,10
18.615818_82.85548,KORAPUT,KONDASRIMUNDA,,0.0,0,1,0.912008281573499,1,30,6,6,6,6,6
18.615834_82.855468,KORAPUT,KONDASRIMUNDA,,0.0,0,1,0.9098756906077347,1,30,6,6,6,6,6
18.616194_82.856297,KORAPUT,KONDASRIMUNDA,,0.0,0,1,1.0,1,30,6,6,6,6,6
18.616558_82.841079,KORAPUT,BARIGUDA,,63.0,6,1,1.0,1,10,6,6,6,6,6
18.616631_82.839986,KORAPUT,BARIGUDA,,58.0,8,1,1.0,1,10,6,6,6,6,6
18.616679_82.843587,KORAPUT,BARIGUDA,,68.0,1,1,1.0,1,10,6,6,6,6,6
18.616705_82.856253,KORAPUT,KONDASRIMUNDA,,0.0,0,1,1.0,1,30,12,12,12,12,12
18.616708_82.839955,KORAPUT,BARIGUDA,,53.0,7,1,1.0,1,10,6,6,6,6,6
18.616768_82.842999,KORAPUT,BARIGUDA,,58.0,5,1,1.0,1,10,6,6,6,6,6
18.616998_82.84222,KORAPUT,BARIGUDA,,63.0,0,1,1.0,1,10,6,6,6,6,6
18.617277_82.841366,KORAPUT,BARIGUDA,,58.0,5,1,1.0,1,10,6,6,6,6,6
18.624624_82.933586,KORAPUT,KHASUGUDA,,48.0,0,0,0.0,1,30,11,11,11,11,11
18.637046_82.971078,KORAPUT,KHASUGUDA,,33.0,2,1,1.0,1,10,6,6,12,12,12
18.637227_82.968882,KORAPUT,KHASUGUDA,,38.0,11,1,1.0,1,30,6,6,6,6,6
18.637924_82.967885,KORAPUT,KHASUGUDA,,33.0,0,1,1.0,1,30,12,6,6,6,6
18.6389_82.971745,KORAPUT,KHASUGUDA,,58.0,1,1,1.0,1,30,12,12,12,6,6
18.639738_82.971846,KORAPUT,KHASUGUDA,,63.0,4,1,1.0,1,10,6,6,6,12,12
18.639916_82.968455,KORAPUT,KHASUGUDA,,28.0,0,1,1.0,1,30,12,12,12,12,12
18.640693_82.972283,KORAPUT,KHASUGUDA,,43.0,2,1,1.0,1,10,6,12,12,12,12
18.641832_82.972375,KORAPUT,KHASUGUDA,,38.0,0,1,1.0,1,10,6,12,12,12,12
18.641893_82.969522,KORAPUT,KHASUGUDA,,28.0,0,1,1.0,1,30,11,11,6,6,6
18.644529_82.974055,KORAPUT,KHASUGUDA,,48.0,1,1,1.0,1,10,6,6,6,6,6
18.652406_82.811505,KORAPUT,SAKIAGUDA,,68.0,8,1,1.0,1,10,6,6,6,6,6
18.652437_82.811106,KORAPUT,SAKIAGUDA,,58.0,3,1,1.0,1,10,6,6,6,6,6
18.65244_82.811768,KORAPUT,SAKIAGUDA,,68.0,6,1,1.0,1,10,6,6,6,6,6
18.652644_82.812857,KORAPUT,SAKIAGUDA,,78.0,4,1,1.0,1,10,6,6,6,6,6
18.652647_82.812143,KORAPUT,SAKIAGUDA,,58.0,7,1,1.0,1,10,6,6,6,6,6
18.652919_82.810902,KORAPUT,SAKIAGUDA,,58.0,4,1,1.0,1,10,6,6,6,6,6
